Ciudad,Pais,Latitud,Longitud,Transporte,Distancia desde ultimo punto (km),Mes,Año
Miami,EEUU,25.77417,-80.1936,Avion,7175.14,Enero,2011
Orlando,EEUU,28.54211,-81.379,Auto,329.34,Enero,2011
Miami,EEUU,25.77417,-80.1936,Auto,329.34,Enero,2011
Kingston,Jamaica,17.97122,-76.7928,Avion,935.73,Enero,2011
Montego Bay,Jamaica,18.47246,-77.9217,Auto,131.61,Enero,2011
Kingston,Jamaica,17.97122,-76.7928,Auto,131.61,Enero,2011
Miami,EEUU,25.77417,-80.1936,Avion,935.73,Enero,2011
Buenos Aires,Argentina,-34.6076,-58.4371,Avion,7175.14,Enero,2011
Houston,EEUU,29.75894,-95.3677,Avion,8137.59,Septiembre,2011
San Francisco,EEUU,37.77903,-122.42,Avion,2643.31,Septiembre,2011
Monterrey,EEUU,36.60026,-121.895,Auto,139.08,Septiembre,2011
Los Angeles,EEUU,34.05369,-118.243,Auto,435.74,Septiembre,2011
San Diego,EEUU,32.71742,-117.163,Auto,179.24,Septiembre,2011
Houston,EEUU,29.75894,-95.3677,Avion,2094.16,Septiembre,2011
Buenos Aires,Argentina,-34.6076,-58.4371,Avion,8137.59,Septiembre,2011
La Habana,Cuba,23.13531,-82.358963,Avion,6899.29,Enero,2012
Guardalavaca,Cuba,21.11808,-75.835,Avion,708.32,Enero,2012
Varadero,Cuba,23.14958,-81.26,Auto,602.61,Enero,2012
La Habana,Cuba,23.13531,-82.358963,Avion,112.37,Enero,2012
Buenos Aires,Argentina,-34.6076,-58.4371,Avion,6899.29,Enero,2012
Córdoba,Argentina,-31.4173,-64.1833,Auto,642.37,Julio,2012
Tafi del Valle,Argentina,-26.8506,-65.6962,Auto,528.58,Julio,2012
Salta,Argentina,-25.1077,-64.3495,Auto,235.96,Julio,2012
Tilcara,Argentina,-23.5768,-65.3934,Auto,200.39,Julio,2012
Cordoba,Argentina,-31.4173,-64.1833,Auto,879.9,Julio,2012
Buenos Aires,Argentina,-34.6076,-58.4371,Auto,642.37,Julio,2012
São Paulo,Brasil,-23.5507,-46.6334,Avion,1678.72,Septiembre,2012
Nueva York,EEUU,40.71273,-74.006,Avion,7685.26,Septiembre,2012
