Agrupacion;Cargo;Codigo;Distrito;Establecimiento;Fecha;IdCargo;IdCircuito;IdDistrito;IdSeccion;Mesa;Seccion;idAgrupacion;idAgrupacionInt;idLista;lista;tipoVoto;votos
FRENTE DE TODOS;DIPUTADOS NACIONALES;00060;Formosa;EPEP N� 335;12-09-2021 22:52;3;0005A;9;1;00442X;Formosa;501;145;1;CELESTEBLANCA Y AZUL;positivo;169
JUNTOS POR FORMOSA LIBRE;DIPUTADOS NACIONALES;00060;Formosa;EPEP N� 335;12-09-2021 22:52;3;0005A;9;1;00442X;Formosa;502;146;1;JUNTOS POR EL CAMBIO;positivo;29
FRENTE ESTAMOS CON VOS;DIPUTADOS NACIONALES;00060;Formosa;EPEP N� 335;12-09-2021 22:52;3;0005A;9;1;00442X;Formosa;503;147;1;SIEMPRE CON VOS;positivo;48
;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:46;3;00006;9;1;00443X;Formosa;;;;;nulos;5
;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:46;3;00006;9;1;00443X;Formosa;;;;;recurridos;0
;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:46;3;00006;9;1;00443X;Formosa;;;;;comando;0
;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:46;3;00006;9;1;00443X;Formosa;;;;;blancos;6
;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:46;3;00006;9;1;00443X;Formosa;;;;;impugnados;0
PRINCIPIOS Y CONVICCI�N;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:46;3;00006;9;1;00443X;Formosa;212;144;1;ESPERANZA;positivo;7
FRENTE DE TODOS;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:46;3;00006;9;1;00443X;Formosa;501;145;1;CELESTEBLANCA Y AZUL;positivo;98
JUNTOS POR FORMOSA LIBRE;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:46;3;00006;9;1;00443X;Formosa;502;146;1;JUNTOS POR EL CAMBIO;positivo;71
FRENTE ESTAMOS CON VOS;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:46;3;00006;9;1;00443X;Formosa;503;147;1;SIEMPRE CON VOS;positivo;48
;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:39;3;00006;9;1;00444X;Formosa;;;;;nulos;6
;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:39;3;00006;9;1;00444X;Formosa;;;;;recurridos;0
;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:39;3;00006;9;1;00444X;Formosa;;;;;comando;0
;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:39;3;00006;9;1;00444X;Formosa;;;;;blancos;5
;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:39;3;00006;9;1;00444X;Formosa;;;;;impugnados;0
PRINCIPIOS Y CONVICCI�N;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:39;3;00006;9;1;00444X;Formosa;212;144;1;ESPERANZA;positivo;7
FRENTE DE TODOS;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:39;3;00006;9;1;00444X;Formosa;501;145;1;CELESTEBLANCA Y AZUL;positivo;99
JUNTOS POR FORMOSA LIBRE;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:39;3;00006;9;1;00444X;Formosa;502;146;1;JUNTOS POR EL CAMBIO;positivo;54
FRENTE ESTAMOS CON VOS;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:39;3;00006;9;1;00444X;Formosa;503;147;1;SIEMPRE CON VOS;positivo;68
;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 20:07;3;00006;9;1;00445X;Formosa;;;;;nulos;2
;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 20:07;3;00006;9;1;00445X;Formosa;;;;;recurridos;0
;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 20:07;3;00006;9;1;00445X;Formosa;;;;;comando;0
;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 20:07;3;00006;9;1;00445X;Formosa;;;;;blancos;4
;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 20:07;3;00006;9;1;00445X;Formosa;;;;;impugnados;0
PRINCIPIOS Y CONVICCI�N;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 20:07;3;00006;9;1;00445X;Formosa;212;144;1;ESPERANZA;positivo;3
FRENTE DE TODOS;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 20:07;3;00006;9;1;00445X;Formosa;501;145;1;CELESTEBLANCA Y AZUL;positivo;95
JUNTOS POR FORMOSA LIBRE;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 20:07;3;00006;9;1;00445X;Formosa;502;146;1;JUNTOS POR EL CAMBIO;positivo;82
FRENTE ESTAMOS CON VOS;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 20:07;3;00006;9;1;00445X;Formosa;503;147;1;SIEMPRE CON VOS;positivo;49
;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:43;3;00006;9;1;00446X;Formosa;;;;;nulos;6
;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:43;3;00006;9;1;00446X;Formosa;;;;;recurridos;0
;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:43;3;00006;9;1;00446X;Formosa;;;;;comando;0
;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:43;3;00006;9;1;00446X;Formosa;;;;;blancos;1
;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:43;3;00006;9;1;00446X;Formosa;;;;;impugnados;0
PRINCIPIOS Y CONVICCI�N;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:43;3;00006;9;1;00446X;Formosa;212;144;1;ESPERANZA;positivo;4
FRENTE DE TODOS;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:43;3;00006;9;1;00446X;Formosa;501;145;1;CELESTEBLANCA Y AZUL;positivo;106
JUNTOS POR FORMOSA LIBRE;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:43;3;00006;9;1;00446X;Formosa;502;146;1;JUNTOS POR EL CAMBIO;positivo;61
FRENTE ESTAMOS CON VOS;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:43;3;00006;9;1;00446X;Formosa;503;147;1;SIEMPRE CON VOS;positivo;40
;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:49;3;00006;9;1;00447X;Formosa;;;;;nulos;6
;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:49;3;00006;9;1;00447X;Formosa;;;;;recurridos;0
;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:49;3;00006;9;1;00447X;Formosa;;;;;comando;0
;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:49;3;00006;9;1;00447X;Formosa;;;;;blancos;0
;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:49;3;00006;9;1;00447X;Formosa;;;;;impugnados;0
PRINCIPIOS Y CONVICCI�N;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:49;3;00006;9;1;00447X;Formosa;212;144;1;ESPERANZA;positivo;7
FRENTE DE TODOS;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:49;3;00006;9;1;00447X;Formosa;501;145;1;CELESTEBLANCA Y AZUL;positivo;123
JUNTOS POR FORMOSA LIBRE;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:49;3;00006;9;1;00447X;Formosa;502;146;1;JUNTOS POR EL CAMBIO;positivo;51
FRENTE ESTAMOS CON VOS;DIPUTADOS NACIONALES;00061;Formosa;EPEP N� 378;12-09-2021 19:49;3;00006;9;1;00447X;Formosa;503;147;1;SIEMPRE CON VOS;positivo;63
;DIPUTADOS NACIONALES;00062;Formosa;EPES N� 91;12-09-2021 22:51;3;00006;9;1;00448X;Formosa;;;;;nulos;2
;DIPUTADOS NACIONALES;00062;Formosa;EPES N� 91;12-09-2021 22:51;3;00006;9;1;00448X;Formosa;;;;;recurridos;0
;DIPUTADOS NACIONALES;00062;Formosa;EPES N� 91;12-09-2021 22:51;3;00006;9;1;00448X;Formosa;;;;;comando;0
;DIPUTADOS NACIONALES;00062;Formosa;EPES N� 91;12-09-2021 22:51;3;00006;9;1;00448X;Formosa;;;;;blancos;2
;DIPUTADOS NACIONALES;00062;Formosa;EPES N� 91;12-09-2021 22:51;3;00006;9;1;00448X;Formosa;;;;;impugnados;0
PRINCIPIOS Y CONVICCI�N;DIPUTADOS NACIONALES;00062;Formosa;EPES N� 91;12-09-2021 22:51;3;00006;9;1;00448X;Formosa;212;144;1;ESPERANZA;positivo;4
FRENTE DE TODOS;DIPUTADOS NACIONALES;00062;Formosa;EPES N� 91;12-09-2021 22:51;3;00006;9;1;00448X;Formosa;501;145;1;CELESTEBLANCA Y AZUL;positivo;104
JUNTOS POR FORMOSA LIBRE;DIPUTADOS NACIONALES;00062;Formosa;EPES N� 91;12-09-2021 22:51;3;00006;9;1;00448X;Formosa;502;146;1;JUNTOS POR EL CAMBIO;positivo;68
FRENTE ESTAMOS CON VOS;DIPUTADOS NACIONALES;00062;Formosa;EPES N� 91;12-09-2021 22:51;3;00006;9;1;00448X;Formosa;503;147;1;SIEMPRE CON VOS;positivo;50
;DIPUTADOS NACIONALES;00062;Formosa;EPES N� 91;12-09-2021 22:50;3;00006;9;1;00449X;Formosa;;;;;nulos;4
