Agrupacion;Cargo;Codigo;Distrito;Establecimiento;Fecha;IdCargo;IdCircuito;IdDistrito;IdSeccion;Mesa;Seccion;idAgrupacion;idAgrupacionInt;idLista;lista;tipoVoto;votos
CAMBIA JUJUY;DIPUTADOS NACIONALES;00153;Jujuy;ESC.N°224 NTRA.S.DEL ROSARIO;12-09-2021 19:23;3;00032;10;4;00977X;El Carmen;502;149;1;SIGAMOS TRANSFORMANDO JUJUY;positivo;76
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00153;Jujuy;ESC.N°224 NTRA.S.DEL ROSARIO;12-09-2021 19:23;3;00032;10;4;00977X;El Carmen;503;150;2;UNIDAD DE LA IZQUIERDA;positivo;21
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00153;Jujuy;ESC.N°224 NTRA.S.DEL ROSARIO;12-09-2021 19:23;3;00032;10;4;00977X;El Carmen;503;150;1;(R)EVOLUCIONEMOS LA IZQUIERDA;positivo;7
;DIPUTADOS NACIONALES;00153;Jujuy;ESC.N°224 NTRA.S.DEL ROSARIO;12-09-2021 19:03;3;00032;10;4;00978X;El Carmen;;;;;nulos;3
;DIPUTADOS NACIONALES;00153;Jujuy;ESC.N°224 NTRA.S.DEL ROSARIO;12-09-2021 19:03;3;00032;10;4;00978X;El Carmen;;;;;recurridos;0
;DIPUTADOS NACIONALES;00153;Jujuy;ESC.N°224 NTRA.S.DEL ROSARIO;12-09-2021 19:03;3;00032;10;4;00978X;El Carmen;;;;;comando;0
;DIPUTADOS NACIONALES;00153;Jujuy;ESC.N°224 NTRA.S.DEL ROSARIO;12-09-2021 19:03;3;00032;10;4;00978X;El Carmen;;;;;blancos;3
;DIPUTADOS NACIONALES;00153;Jujuy;ESC.N°224 NTRA.S.DEL ROSARIO;12-09-2021 19:03;3;00032;10;4;00978X;El Carmen;;;;;impugnados;0
FRENTE DE TODOS;DIPUTADOS NACIONALES;00153;Jujuy;ESC.N°224 NTRA.S.DEL ROSARIO;12-09-2021 19:03;3;00032;10;4;00978X;El Carmen;501;148;1;CELESTE Y BLANCA DE TODOS;positivo;79
CAMBIA JUJUY;DIPUTADOS NACIONALES;00153;Jujuy;ESC.N°224 NTRA.S.DEL ROSARIO;12-09-2021 19:03;3;00032;10;4;00978X;El Carmen;502;149;1;SIGAMOS TRANSFORMANDO JUJUY;positivo;72
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00153;Jujuy;ESC.N°224 NTRA.S.DEL ROSARIO;12-09-2021 19:03;3;00032;10;4;00978X;El Carmen;503;150;2;UNIDAD DE LA IZQUIERDA;positivo;50
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00153;Jujuy;ESC.N°224 NTRA.S.DEL ROSARIO;12-09-2021 19:03;3;00032;10;4;00978X;El Carmen;503;150;1;(R)EVOLUCIONEMOS LA IZQUIERDA;positivo;6
