Agrupacion;Cargo;Codigo;Distrito;Establecimiento;Fecha;IdCargo;IdCircuito;IdDistrito;IdSeccion;Mesa;Seccion;idAgrupacion;idAgrupacionInt;idLista;lista;tipoVoto;votos
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:38;3;00001;15;1;00001X;Confluencia;;;;;nulos;21
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:38;3;00001;15;1;00001X;Confluencia;;;;;recurridos;1
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:38;3;00001;15;1;00001X;Confluencia;;;;;comando;0
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:38;3;00001;15;1;00001X;Confluencia;;;;;blancos;2
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:38;3;00001;15;1;00001X;Confluencia;;;;;impugnados;0
MOVIMIENTO LIBRES DEL SUR;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:38;3;00001;15;1;00001X;Confluencia;40;177;1;#CON VOS;positivo;12
COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA (ARI);DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:38;3;00001;15;1;00001X;Confluencia;47;178;1;ACOMPAÑANOS;positivo;59
SOCIALISTA;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:38;3;00001;15;1;00001X;Confluencia;50;179;1;OJALÁ LA TIERRA;positivo;2
MOVIMIENTO POPULAR NEUQUINO;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:38;3;00001;15;1;00001X;Confluencia;151;180;1;AZUL POR NEUQUÉN;positivo;35
MOVIMIENTO POPULAR NEUQUINO;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:38;3;00001;15;1;00001X;Confluencia;151;180;3;UNIDOS SÍ PODEMOS;positivo;3
MOVIMIENTO POPULAR NEUQUINO;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:38;3;00001;15;1;00001X;Confluencia;151;180;2;CUIDEMOS NEUQUÉN CONSTRUYAMOS FUTURO;positivo;30
MOVIMIENTO AL SOCIALISMO;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:38;3;00001;15;1;00001X;Confluencia;183;181;1;PARA RENOVAR A LA IZQUIERDA;positivo;1
FRENTE DE TODOS;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:38;3;00001;15;1;00001X;Confluencia;501;182;1;CELESTE Y BLANCA A;positivo;18
FRENTE DE TODOS;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:38;3;00001;15;1;00001X;Confluencia;501;182;2;EVA PERÓN;positivo;7
FRENTE DE TODOS;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:38;3;00001;15;1;00001X;Confluencia;501;182;3;NEUQUÉN DE TODOS;positivo;8
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:38;3;00001;15;1;00001X;Confluencia;502;183;2;UNIDAD DE LA IZQUIERDA;positivo;15
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:38;3;00001;15;1;00001X;Confluencia;502;183;1;(R)EVOLUCIONEMOS LA IZQUIERDA;positivo;4
CAMBIA NEUQUÉN;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:38;3;00001;15;1;00001X;Confluencia;503;184;1;JUNTOS;positivo;58
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:13;3;00001;15;1;00002X;Confluencia;;;;;nulos;12
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:13;3;00001;15;1;00002X;Confluencia;;;;;recurridos;0
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:13;3;00001;15;1;00002X;Confluencia;;;;;comando;0
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:13;3;00001;15;1;00002X;Confluencia;;;;;blancos;6
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:13;3;00001;15;1;00002X;Confluencia;;;;;impugnados;0
MOVIMIENTO LIBRES DEL SUR;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:13;3;00001;15;1;00002X;Confluencia;40;177;1;#CON VOS;positivo;15
COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA (ARI);DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:13;3;00001;15;1;00002X;Confluencia;47;178;1;ACOMPAÑANOS;positivo;51
SOCIALISTA;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:13;3;00001;15;1;00002X;Confluencia;50;179;1;OJALÁ LA TIERRA;positivo;6
MOVIMIENTO POPULAR NEUQUINO;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:13;3;00001;15;1;00002X;Confluencia;151;180;1;AZUL POR NEUQUÉN;positivo;37
MOVIMIENTO POPULAR NEUQUINO;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:13;3;00001;15;1;00002X;Confluencia;151;180;3;UNIDOS SÍ PODEMOS;positivo;2
MOVIMIENTO POPULAR NEUQUINO;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:13;3;00001;15;1;00002X;Confluencia;151;180;2;CUIDEMOS NEUQUÉN CONSTRUYAMOS FUTURO;positivo;32
MOVIMIENTO AL SOCIALISMO;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:13;3;00001;15;1;00002X;Confluencia;183;181;1;PARA RENOVAR A LA IZQUIERDA;positivo;1
FRENTE DE TODOS;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:13;3;00001;15;1;00002X;Confluencia;501;182;1;CELESTE Y BLANCA A;positivo;19
FRENTE DE TODOS;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:13;3;00001;15;1;00002X;Confluencia;501;182;2;EVA PERÓN;positivo;10
FRENTE DE TODOS;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:13;3;00001;15;1;00002X;Confluencia;501;182;3;NEUQUÉN DE TODOS;positivo;12
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:13;3;00001;15;1;00002X;Confluencia;502;183;2;UNIDAD DE LA IZQUIERDA;positivo;17
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:13;3;00001;15;1;00002X;Confluencia;502;183;1;(R)EVOLUCIONEMOS LA IZQUIERDA;positivo;7
CAMBIA NEUQUÉN;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:13;3;00001;15;1;00002X;Confluencia;503;184;1;JUNTOS;positivo;47
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:54;3;00001;15;1;00003X;Confluencia;;;;;nulos;20
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:54;3;00001;15;1;00003X;Confluencia;;;;;recurridos;0
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:54;3;00001;15;1;00003X;Confluencia;;;;;comando;0
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:54;3;00001;15;1;00003X;Confluencia;;;;;blancos;2
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:54;3;00001;15;1;00003X;Confluencia;;;;;impugnados;0
MOVIMIENTO LIBRES DEL SUR;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:54;3;00001;15;1;00003X;Confluencia;40;177;1;#CON VOS;positivo;12
COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA (ARI);DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:54;3;00001;15;1;00003X;Confluencia;47;178;1;ACOMPAÑANOS;positivo;57
SOCIALISTA;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:54;3;00001;15;1;00003X;Confluencia;50;179;1;OJALÁ LA TIERRA;positivo;5
MOVIMIENTO POPULAR NEUQUINO;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:54;3;00001;15;1;00003X;Confluencia;151;180;1;AZUL POR NEUQUÉN;positivo;37
MOVIMIENTO POPULAR NEUQUINO;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:54;3;00001;15;1;00003X;Confluencia;151;180;3;UNIDOS SÍ PODEMOS;positivo;3
MOVIMIENTO POPULAR NEUQUINO;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:54;3;00001;15;1;00003X;Confluencia;151;180;2;CUIDEMOS NEUQUÉN CONSTRUYAMOS FUTURO;positivo;30
