Agrupacion;Cargo;Codigo;Distrito;Establecimiento;Fecha;IdCargo;IdCircuito;IdDistrito;IdSeccion;Mesa;Seccion;idAgrupacion;idAgrupacionInt;idLista;lista;tipoVoto;votos,,
MOVIMIENTO AL SOCIALISMO;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:01;3;00105;16;1;00040X;Adolfo Alsina;165;186;1;PARA RENOVAR A LA IZQUIERDA;positivo;7,,
FRENTE DE TODOS;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:01;3;00105;16;1;00040X;Adolfo Alsina;501;187;1;UNIDAD AZUL,CELESTE Y BLANCA;positivo;45,
JUNTOS SOMOS RIO NEGRO;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:01;3;00105;16;1;00040X;Adolfo Alsina;502;188;1;SIGAMOS CRECIENDO;positivo;55,,
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:01;3;00105;16;1;00040X;Adolfo Alsina;503;189;2;UNIDAD DE LA IZQUIERDA;positivo;1,,
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:01;3;00105;16;1;00040X;Adolfo Alsina;503;189;1;(R)EVOLUCIONEMOS LA IZQUIERDA;positivo;6,,
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:01;3;00105;16;1;00040X;Adolfo Alsina;504;190;3;ROJO,BLANCO Y MORADO;positivo;6,
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:01;3;00105;16;1;00040X;Adolfo Alsina;504;190;1;AMARILLA,AZUL,VERDE Y ROJA;positivo;8
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:01;3;00105;16;1;00040X;Adolfo Alsina;504;190;2;ROJA,BLANCA Y ROJA;positivo;30,
;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:37;3;00105;16;1;00041X;Adolfo Alsina;;;;;nulos;14,,
;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:37;3;00105;16;1;00041X;Adolfo Alsina;;;;;recurridos;0,,
