Agrupacion;Cargo;Codigo;Distrito;Establecimiento;Fecha;IdCargo;IdCircuito;IdDistrito;IdSeccion;Mesa;Seccion;idAgrupacion;idAgrupacionInt;idLista;lista;tipoVoto;votos
;DIPUTADOS NACIONALES;00084;San Juan;PROVINCIA DE CATAMARCA;12-09-2021 19:36;3;00045;18;4;00620X;Rivadavia;;;;;comando;0
;DIPUTADOS NACIONALES;00084;San Juan;PROVINCIA DE CATAMARCA;12-09-2021 19:36;3;00045;18;4;00620X;Rivadavia;;;;;blancos;2
;DIPUTADOS NACIONALES;00084;San Juan;PROVINCIA DE CATAMARCA;12-09-2021 19:36;3;00045;18;4;00620X;Rivadavia;;;;;impugnados;0
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00084;San Juan;PROVINCIA DE CATAMARCA;12-09-2021 19:36;3;00045;18;4;00620X;Rivadavia;501;199;1;JUNTO CON VOS;positivo;112
CONSENSO ISHCHIGUALASTO;DIPUTADOS NACIONALES;00084;San Juan;PROVINCIA DE CATAMARCA;12-09-2021 19:36;3;00045;18;4;00620X;Rivadavia;502;200;1;CONSENSO;positivo;20
FRENTE DE TODOS;DIPUTADOS NACIONALES;00084;San Juan;PROVINCIA DE CATAMARCA;12-09-2021 19:36;3;00045;18;4;00620X;Rivadavia;503;201;1;TODOS UNIDOS;positivo;77
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00084;San Juan;PROVINCIA DE CATAMARCA;12-09-2021 19:36;3;00045;18;4;00620X;Rivadavia;504;202;2;UNIDAD DE LA IZQUIERDA;positivo;6
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00084;San Juan;PROVINCIA DE CATAMARCA;12-09-2021 19:36;3;00045;18;4;00620X;Rivadavia;504;202;1;(R)EVOLUCIONEMOS LA IZQUIERDA;positivo;12
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:13;3;00045;18;4;00621X;Rivadavia;;;;;nulos;9
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:13;3;00045;18;4;00621X;Rivadavia;;;;;recurridos;1
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:13;3;00045;18;4;00621X;Rivadavia;;;;;comando;0
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:13;3;00045;18;4;00621X;Rivadavia;;;;;blancos;3
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:13;3;00045;18;4;00621X;Rivadavia;;;;;impugnados;0
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:13;3;00045;18;4;00621X;Rivadavia;501;199;1;JUNTO CON VOS;positivo;102
CONSENSO ISHCHIGUALASTO;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:13;3;00045;18;4;00621X;Rivadavia;502;200;1;CONSENSO;positivo;17
FRENTE DE TODOS;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:13;3;00045;18;4;00621X;Rivadavia;503;201;1;TODOS UNIDOS;positivo;74
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:13;3;00045;18;4;00621X;Rivadavia;504;202;2;UNIDAD DE LA IZQUIERDA;positivo;7
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:13;3;00045;18;4;00621X;Rivadavia;504;202;1;(R)EVOLUCIONEMOS LA IZQUIERDA;positivo;9
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:17;3;00045;18;4;00622X;Rivadavia;;;;;nulos;11
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:17;3;00045;18;4;00622X;Rivadavia;;;;;recurridos;2
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:17;3;00045;18;4;00622X;Rivadavia;;;;;comando;0
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:17;3;00045;18;4;00622X;Rivadavia;;;;;blancos;6
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:17;3;00045;18;4;00622X;Rivadavia;;;;;impugnados;1
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:17;3;00045;18;4;00622X;Rivadavia;501;199;1;JUNTO CON VOS;positivo;118
