Agrupacion;Cargo;Codigo;Distrito;Establecimiento;Fecha;IdCargo;IdCircuito;IdDistrito;IdSeccion;Mesa;Seccion;idAgrupacion;idAgrupacionInt;idLista;lista;tipoVoto;votos
CAMBIA SANTA CRUZ;DIPUTADOS NACIONALES;00023;Santa Cruz;ESCUELA PCIAL Nº 57 JOSE INGENIEROS;12-09-2021 20:13;3;00003;20;1;00179X;Deseado;501;213;5;SANTA CRUZ NOS UNE;positivo;4
CAMBIA SANTA CRUZ;DIPUTADOS NACIONALES;00023;Santa Cruz;ESCUELA PCIAL Nº 57 JOSE INGENIEROS;12-09-2021 20:13;3;00003;20;1;00179X;Deseado;501;213;3;FUTURO SANTA CRUZ;positivo;2
CAMBIA SANTA CRUZ;DIPUTADOS NACIONALES;00023;Santa Cruz;ESCUELA PCIAL Nº 57 JOSE INGENIEROS;12-09-2021 20:13;3;00003;20;1;00179X;Deseado;501;213;6;TU VOZ EN EL CONGRESO;positivo;7
CAMBIA SANTA CRUZ;DIPUTADOS NACIONALES;00023;Santa Cruz;ESCUELA PCIAL Nº 57 JOSE INGENIEROS;12-09-2021 20:13;3;00003;20;1;00179X;Deseado;501;213;2;EVOLUCIÓN SANTA CRUZ;positivo;6
CAMBIA SANTA CRUZ;DIPUTADOS NACIONALES;00023;Santa Cruz;ESCUELA PCIAL Nº 57 JOSE INGENIEROS;12-09-2021 20:13;3;00003;20;1;00179X;Deseado;501;213;4;JUNTOS POR SANTA CRUZ;positivo;18
CAMBIA SANTA CRUZ;DIPUTADOS NACIONALES;00023;Santa Cruz;ESCUELA PCIAL Nº 57 JOSE INGENIEROS;12-09-2021 20:13;3;00003;20;1;00179X;Deseado;501;213;1;CON VOS;positivo;10
FRENTE DE TODOS;DIPUTADOS NACIONALES;00023;Santa Cruz;ESCUELA PCIAL Nº 57 JOSE INGENIEROS;12-09-2021 20:13;3;00003;20;1;00179X;Deseado;502;214;1;ACUERDO SANTACRUCEÑO;positivo;33
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00023;Santa Cruz;ESCUELA PCIAL Nº 57 JOSE INGENIEROS;12-09-2021 20:13;3;00003;20;1;00179X;Deseado;503;215;2;UNIDAD DE LA IZQUIERDA;positivo;18
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00023;Santa Cruz;ESCUELA PCIAL Nº 57 JOSE INGENIEROS;12-09-2021 20:13;3;00003;20;1;00179X;Deseado;503;215;1;(R)EVOLUCIONEMOS LA IZQUIERDA;positivo;11
;DIPUTADOS NACIONALES;00023;Santa Cruz;ESCUELA PCIAL Nº 57 JOSE INGENIEROS;12-09-2021 19:26;3;00003;20;1;00180X;Deseado;;;;;nulos;12
