Agrupacion;Cargo;Codigo;Distrito;Establecimiento;Fecha;IdCargo;IdCircuito;IdDistrito;IdSeccion;Mesa;Seccion;idAgrupacion;idAgrupacionInt;idLista;lista;tipoVoto;votos,
;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 20:05;3;00113;24;1;00201X;Ushuaia;;;;;recurridos;0
;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 20:05;3;00113;24;1;00201X;Ushuaia;;;;;comando;0
;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 20:05;3;00113;24;1;00201X;Ushuaia;;;;;blancos;0
;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 20:05;3;00113;24;1;00201X;Ushuaia;;;;;impugnados;0
OBRERO;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 20:05;3;00113;24;1;00201X;Ushuaia;89;245;1;FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD COLOR ROJA;positivo;11
MOVIMIENTO POPULAR FUEGUINO;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 20:05;3;00113;24;1;00201X;Ushuaia;154;246;1;MILITANCIA MOPOFISTA;positivo;5
SOMOS FUEGUINOS;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 20:05;3;00113;24;1;00201X;Ushuaia;167;247;1;BLANCA;positivo;31
REPUBLICANOS UNIDOS;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 20:05;3;00113;24;1;00201X;Ushuaia;212;248;1;FUEGUINOS;positivo;11
MOVIMIENTO AL SOCIALISMO;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 20:05;3;00113;24;1;00201X;Ushuaia;214;249;1;PARA RENOVAR A LA IZQUIERDA;positivo;8
FRENTE DE TODOS;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 20:05;3;00113;24;1;00201X;Ushuaia;501;250;1;CELESTE Y BLANCA;positivo;66
JUNTOS POR EL CAMBIO TIERRA DEL FUEGO;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 20:05;3;00113;24;1;00201X;Ushuaia;502;251;4;JUNTOS TIERRA DEL FUEGO;positivo;20
JUNTOS POR EL CAMBIO TIERRA DEL FUEGO;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 20:05;3;00113;24;1;00201X;Ushuaia;502;251;2;EVOLUCIÓN M.N.M.R.;positivo;3
